Dist,2025 Incumbent,Party,District description,2025 PVI,"2025 PVI Rank
Sortable",
FL-12,Gus Bilirakis,R,"West central Gulf Coast: New Port Richey, Spring Hill",R+17,382,
FL-13,Anna Paulina Luna,R,"Pinellas County: parts of St. Petersburg, Clearwater",R+5,250,
FL-14,Kathy Castor,D,"Tampa Bay: most of Tampa, parts of St. Petersburg",D+5,159,
FL-15,Laurel Lee,R,"Tampa suburbs: Temple Terrace, Plant City, Zephyrhills",R+5,244,
FL-16,Vern Buchanan,R,"Tampa suburbs: Bradenton, Brandon",R+7,269,
FL-17,Greg Steube,R,"Southwest Gulf Coast: Sarasota, Port Charlotte",R+11,323,
FL-18,Scott Franklin,R,"South central: Winter Haven, Sebring",R+14,352,
FL-19,Byron Donalds,R,"Southwest Gulf Coast: Ft. Myers, Naples",R+14,348,
FL-20,Sheila Cherfilus-McCormick,D,Southeast: parts of Ft. Lauderdale and West Palm Beach,D+22,46,
FL-21,Brian Mast,R,"Treasure Coast: Port St. Lucie, Ft. Pierce, Jupiter",R+7,272,
FL-22,Lois Frankel,D,"Palm Beach County: Boynton Beach, Delray Beach",D+4,170,
FL-23,Jared Moskowitz,D,"Southeast: Boca Raton, Coral Springs",D+2,192,
FL-24,Frederica Wilson,D,"Southeast: North Miami, Little Haiti, Miami Beach",D+18,76,
FL-25,Debbie Wasserman Schultz,D,"Southern Broward County: Hollywood, Weston",D+5,164,
FL-26,Mario Díaz-Balart,R,"Southeast: Hialeah, Doral, Naples suburbs",R+16,369,
FL-27,Maria Elvira Salazar,R,"Miami-Dade County: Little Havana, Coral Gables, Kendall",R+6,255,
FL-28,Carlos A. Giménez,R,"Miami suburbs: Tamiami, Homestead, the Keys",R+10,312,
GA-01,Buddy Carter,R,"Coastal Georgia: Savannah, Brunswick, Waycross",R+8,277,
GA-02,Sanford Bishop,D,"Southwest: Albany, Columbus, Macon",D+4,171,
GA-03,Brian Jack,R,"West central: Peachtree City, Carrollton, LaGrange",R+15,366,
GA-04,Hank Johnson,D,"DeKalb County: Lithonia, Stone Mountain, Duluth",D+27,21,
GA-05,Nikema Williams,D,"Downtown Atlanta, Decatur",D+36,5,
GA-06,Lucy McBath,D,"Western Atlanta suburbs: Mableton, Smyrna, South Fulton",D+25,30,
GA-07,Rich McCormick,R,"Northern Atlanta suburbs: Roswell, Alpharetta, Dahlonega",R+11,319,
GA-08,Austin Scott,R,"South central: Valdosta, Moultrie, Milledgeville",R+15,365,
GA-09,Andrew Clyde,R,"Northeast: Gainesville, Suwanee",R+17,383,
GA-10,Mike Collins,R,"North central: Athens, McDonough",R+11,316,
GA-11,Barry Loudermilk,R,"Northwest Atlanta suburbs: Marietta, Cartersville",R+12,334,
GA-12,Rick Allen,R,"East central: Augusta, Statesboro, Vidalia",R+7,262,
GA-13,David Scott,D,"Southeast Atlanta suburbs: Stockbridge, Conyers, Snellville",D+21,50,
GA-14,Marjorie Taylor Greene,R,"Northwest: Rome, Dalton, Chattanooga suburbs",R+19,396,
HI-01,Ed Case,D,Oahu: Honolulu,D+13,96,
HI-02,Jill Tokuda,D,"Parts of Oahu and all ""Neighbor Islands""",D+12,114,
ID-01,Russ Fulcher,R,"West: Northern Panhandle, Boise suburbs",R+22,415,
ID-02,Mike Simpson,R,"East: Boise, Pocatello, Idaho Falls",R+13,344,
IL-01,Jonathan Jackson,D,"South Side Chicago: Hyde Park, New Lenox",D+18,75,
IL-02,Robin Kelly,D,"South Side Chicago, Kankakee, Danville",D+18,74,
IL-03,Delia Ramirez,D,"Chicago northwest side: Humboldt Park, West Chicago",D+17,80,
IL-04,Chuy García,D,"Chicago southwest side: Pilsen, Cicero",D+17,85,
IL-05,Mike Quigley,D,"North side of Chicago: Lincoln Park, Barrington",D+19,62,
IL-06,Sean Casten,D,"Southwest Chicago suburbs: Oak Lawn, Downers Grove",D+3,178,
IL-07,Danny Davis,D,"Chicago Loop and West Side: Austin, Oak Park",D+34,7,
IL-08,Raja Krishnamoorthi,D,"Northwest Chicago suburbs: Schaumburg, Elgin",D+5,163,
IL-09,Jan Schakowsky,D,"Chicago north suburbs: Evanston, Glenview",D+19,63,
IL-10,Brad Schneider,D,"Northeast: Highland Park, Waukegan",D+12,116,
IL-11,Bill Foster,D,"Chicago exurbs: Aurora, Naperville, Bolingbrook",D+6,151,
IL-12,Mike Bost,R,"South: Effingham, Carbondale",R+22,413,
IL-13,Nikki Budzinski,D,"South central: East St. Louis, Springfield, Champaign",D+5,158,
IL-14,Lauren Underwood,D,"Chicago exurbs: Joliet, DeKalb",D+3,180,
IL-15,Mary Miller,R,"Metro East: St. Louis suburbs, Quincy",R+20,404,
IL-16,Darin LaHood,R,"North central: suburbs of Peoria, Rockford, Bloomington",R+11,330,
IL-17,Eric Sorensen,D,"Northwest: Rock Island, Rockford, Peoria",D+3,188,
IN-01,Frank J. Mrvan,D,"Northwest: Gary, Hammond",D+1,204,
IN-02,Rudy Yakym,R,"North: South Bend, Elkhart",R+13,342,
IN-03,Marlin Stutzman,R,Northeast: Fort Wayne,R+16,371,
IN-04,Jim Baird,R,"West central: Lafayette, Zionsville",R+15,363,
IN-05,Victoria Spartz,R,"Northern Indianapolis suburbs, Kokomo",R+8,288,
IN-06,Jefferson Shreve,R,"East central: New Castle, Columbus",R+16,377,
IN-07,André Carson,D,Indianapolis,D+21,49,
IN-08,Mark Messmer,R,"Southwest: Evansville, Terre Haute",R+18,388,
IN-09,Erin Houchin,R,"Southeast: Jeffersonville, Bloomington",R+15,361,
IA-01,Mariannette Miller-Meeks,R,"Southeast: Davenport, Iowa City",R+4,238,
IA-02,Ashley Hinson,R,"Northeast: Cedar Rapids, Dubuque",R+4,243,
IA-03,Zach Nunn,R,"South central: Des Moines, Ottumwa",R+2,225,
IA-04,Randy Feenstra,R,"West: Sioux City, Council Bluffs, Ames",R+15,368,
KS-01,Tracey Mann,R,"West: Garden City, Hutchinson, Lawrence",R+16,372,
KS-02,Derek Schmidt,R,"East and southeast: Topeka, Kansas City, Pittsburg",R+10,299,
KS-03,Sharice Davids,D,"Kansas City suburbs: Overland Park, Olathe",D+2,195,
KS-04,Ron Estes,R,"South central: Wichita, El Dorado",R+12,333,
KY-01,James Comer,R,"West and central: Paducah, Frankfort",R+23,423,
KY-02,Brett Guthrie,R,"West central: Bowling Green, Owensboro",R+20,405,
KY-03,Morgan McGarvey,D,Louisville and inner suburbs,D+10,130,
KY-04,Thomas Massie,R,"North: Covington, Newport, Maysville",R+18,386,
KY-05,Hal Rogers,R,"East: Ashland, Pikeville, Somerset",R+32,434,
KY-06,Andy Barr,R,"Central: Lexington, Richmond, Georgetown",R+7,271,
LA-01,Steve Scalise,R,Southeast: New Orleans suburbs,R+19,399,
LA-02,Troy Carter,D,"Most of New Orleans, Gonzales",D+17,86,
LA-03,Clay Higgins,R,"Gulf Coast: Lake Charles, New Iberia, Houma",R+22,417,
LA-04,Mike Johnson,R,"Northwest: Shreveport suburbs, Ruston, Leesville",R+26,428,
LA-05,Julia Letlow,R,"Northeast and ""Florida Parishes:"" Monroe, Baton Rouge suburbs",R+18,391,
LA-06,Cleo Fields,D,"North central: parts of Baton Rouge, Shreveport, Alexandria",D+8,138,
ME-01,Chellie Pingree,D,"South: Portland, Brunswick",D+11,118,
ME-02,Jared Golden,D,"North: Bangor, Lewiston, ""Down East""",R+4,241,
MD-01,Andy Harris,R,"Eastern Shore, Harford County",R+8,286,
MD-02,Johnny Olszewski,D,"Baltimore suburbs: Towson, Owings Mills",D+10,132,
MD-03,Sarah Elfreth,D,"DC/Baltimore suburbs: Columbia, Glen Burnie, Annapolis",D+12,106,
MD-04,Glenn Ivey,D,DC suburbs: Most of Prince George's County,D+39,4,
MD-05,Steny Hoyer,D,"South: Waldorf, Bowie, La Plata",D+17,78,
MD-06,April McClain Delaney,D,"West: Frederick, Hagerstown, Gaithersburg",D+3,177,
MD-07,Kweisi Mfume,D,Baltimore and inner suburbs,D+31,14,
MD-08,Jamie Raskin,D,"DC suburbs: Rockville, Bethesda, Silver Spring",D+30,15,
MA-01,Richard Neal,D,"West: Springfield, the Berkshires",D+8,140,
MA-02,Jim McGovern,D,"West central: Worcester, Northampton",D+13,97,
MA-03,Lori Trahan,D,"Northeast: Lowell, Lawrence",D+11,122,
MA-04,Jake Auchincloss,D,"Southeast: Newton, Brookline, Fall River",D+11,119,
MA-05,Katherine Clark,D,"Boston suburbs: Arlington, Watertown",D+24,35,
MA-06,Seth Moulton,D,"Northeast: Lynn, Salem, Beverly",D+11,117,
MA-07,Ayanna Pressley,D,"Most of Boston, Somerville, Cambridge",D+34,8,
MA-08,Stephen Lynch,D,"South Boston, Quincy, Braintree",D+15,93,
MA-09,Bill Keating,D,"Southeast: Cape Cod, New Bedford, Plymouth",D+6,150,
MI-01,Jack Bergman,R,"North: Upper Peninsula, Traverse City",R+11,315,
MI-02,John Moolenaar,R,"West central: Manistee, Mount Pleasant",R+15,367,
MI-03,Hillary Scholten,D,"West: Grand Rapids, Muskegon",D+4,172,
MI-04,Bill Huizenga,R,"West: Holland, Kalamazoo",R+3,231,
MI-05,Tim Walberg,R,"South: Jackson, Monroe, Three Rivers",R+13,345,
MI-06,Debbie Dingell,D,"Southeast: Ann Arbor, Canton, Ypsilanti",D+12,108,
MI-07,Tom Barrett,R,"Central: Lansing, Howell",EVEN,216,
MI-08,Kristen McDonald Rivet,D,"East central: Flint, Saginaw, Bay Cities",R+1,217,
MI-09,Lisa McClain,R,"The Thumb: Port Huron, Detroit exurbs",R+16,373,
MI-10,John James,R,"Macomb County: Warren, Sterling Heights",R+3,233,
MI-11,Haley Stevens,D,"Oakland County: Royal Oak, Pontiac",D+9,136,
MI-12,Rashida Tlaib,D,"Detroit area: Dearborn, Southfield",D+21,51,
MI-13,Shri Thanedar,D,"Most of Detroit, Romulus, Taylor",D+22,43,
MN-01,Brad Finstad,R,"South: Mankato, Rochester",R+6,258,
MN-02,Angie Craig,D,"South Twin Cities suburbs: Eagan, Northfield",D+3,182,
MN-03,Kelly Morrison,D,"Minneapolis suburbs: Maple Grove, Minnetonka",D+11,121,
MN-04,Betty McCollum,D,"St. Paul, Stillwater",D+18,69,
MN-05,Ilhan Omar,D,Minneapolis and inner suburbs,D+32,13,
MN-06,Tom Emmer,R,"Central: St. Cloud, Twin Cities exurbs",R+10,302,
MN-07,Michelle Fischbach,R,"Northwest: Moorhead, Fergus Falls, Willmar",R+18,392,
MN-08,Pete Stauber,R,"Iron Range: Duluth, Brainerd, Bemidji",R+7,268,
MS-01,Trent Kelly,R,"Northeast: Tupelo, Memphis suburbs",R+18,390,
MS-02,Bennie Thompson,D,"Mississippi Delta: Jackson, Greenville, Natchez",D+11,120,
MS-03,Michael Guest,R,"East central: Jackson suburbs, Meridian",R+14,354,
MS-04,Mike Ezell,R,"South: Hattiesburg, Gulfport, Biloxi",R+21,407,
MO-01,Wesley Bell,D,St. Louis and northern suburbs,D+29,17,
MO-02,Ann Wagner,R,"St. Louis suburbs: Chesterfield, Franklin County",R+4,239,
MO-03,Bob Onder,R,"East central: Jefferson City, St. Charles",R+13,346,
MO-04,Mark Alford,R,"West central: Belton, part of Columbia",R+21,409,
MO-05,Emanuel Cleaver,D,Kansas City and northern suburbs,D+12,111,
MO-06,Sam Graves,R,"North: Kansas City suburbs, St. Joseph, Hannibal",R+19,400,
MO-07,Eric Burlison,R,"Southwest: Springfield, Joplin, Branson",R+21,411,
MO-08,Jason Smith,R,"Southeast: Cape Girardeau, Poplar Bluff, Rolla",R+27,429,
MT-01,Ryan Zinke,R,"West: Missoula, Bozeman, Kalispell",R+5,251,
MT-02,Troy Downing,R,"East: Billings, Great Falls, Helena",R+15,362,
NE-01,Mike Flood,R,"East: Lincoln, Norfolk",R+6,260,
NE-02,Don Bacon,R,Omaha and suburbs,D+3,189,
NE-03,Adrian Smith,R,"West: Grand Island, Scotts Bluff",R+27,430,
NV-01,Dina Titus,D,"Parts of Las Vegas, Henderson, Boulder City",D+2,197,
NV-02,Mark Amodei,R,"North: Reno, Elko, Carson City",R+7,266,
NV-03,Susie Lee,D,"Parts of Las Vegas, Summerlin",D+1,207,
NV-04,Steven Horsford,D,"North Las Vegas, southern ""Cow Counties""",D+2,198,
NH-01,Chris Pappas,D,"East: Manchester, Portsmouth, Laconia",D+2,200,
NH-02,Maggie Goodlander,D,"North and west: Nashua, Concord, Keene",D+2,190,
NJ-01,Donald Norcross,D,"Southwest: Camden, Cherry Hill, Glassboro",D+10,128,
NJ-02,Jeff Van Drew,R,"South: Atlantic City, Cape May, Vineland",R+5,252,
NJ-03,Herb Conaway,D,"South central: Burlington, Hamilton, Freehold",D+5,160,
NJ-04,Chris Smith,R,"South central: most of Ocean County, Point Pleasant",R+14,355,
NJ-05,Josh Gottheimer,D,Northeast: most of Bergen County,D+2,194,
NJ-06,Frank Pallone,D,"Central: New Brunswick, Old Bridge, Asbury Park",D+5,161,
