Dist,First,Last,Party,2005 PVI,2005 Raw PVI,Rank
OR-04,Peter,DeFazio,D,EVEN,D+0.39,187
OR-05,Darlene,Hooley,D,EVEN,D+0.2,188
PA-01,Bob,Brady,D,D+36,D+35.56,9
PA-02,Chaka,Fattah,D,D+39,D+38.6,5
PA-03,Phil,English,R,R+2,R+2.17,215
PA-04,Melissa,Hart,R,R+3,R+3.41,235
PA-05,John E.,Peterson,R,R+10,R+10.13,332
PA-06,Jim,Gerlach,R,D+2,D+2.17,176
PA-07,Curt,Weldon,R,D+4,D+3.59,159
PA-08,Mike,Fitzpatrick,R,D+3,D+2.81,167
PA-09,Bill,Shuster,R,R+16,R+15.9,396
PA-10,Don,Sherwood,R,R+9,R+8.85,314
PA-11,Paul,Kanjorski,D,D+4,D+4.38,154
PA-12,John,Murtha,D,D+3,D+3.35,162
PA-13,Allyson,Schwartz,D,D+7,D+7.44,130
PA-14,Mike,Doyle,D,D+21,D+21.15,45
PA-15,Charlie,Dent,R,D+1,D+1.09,184
PA-16,Joe,Pitts,R,R+11,R+11.37,348
PA-17,Tim,Holden,D,R+7,R+7.09,296
PA-18,Tim,Murphy,D,R+3,R+3.01,229
PA-19,Todd Russell,Platts,R,R+13,R+13.09,365
RI-01,Patrick J.,Kennedy,D,D+15,D+14.8,70
RI-02,James,Langevin,D,D+11,D+10.73,100
SC-01,Henry E.,Brown Jr.,R,R+10,R+10.11,330
SC-02,Joe,Wilson,R,R+9,R+9.4,320
SC-03,Gresham,Barrett,R,R+15,R+14.86,387
SC-04,Bob,Inglis,R,R+15,R+14.87,388
SC-05,John,Spratt,D,R+6,R+6.4,281
SC-06,Jim,Clyburn,D,D+11,D+11.28,93
SD-00,Stephanie,Herseth,D,R+10,R+10.22,333
TN-01,Bill,Jenkins,R,R+16,R+15.91,397
TN-02,Jimmy,Duncan,R,R+13,R+12.93,364
TN-03,Zach,Wamp,R,R+10,R+9.75,324
TN-04,Lincoln,Davis,D,R+6,R+5.59,268
TN-05,Jim,Cooper,D,D+4,D+4.38,155
TN-06,Bart,Gordon,D,R+7,R+6.71,290
TN-07,Marsha,Blackburn,R,R+14,R+13.76,376
TN-08,John S.,Tanner,D,R+1,R+1.07,206
TN-09,Harold,Ford Jr.,D,D+19,D+19.24,50
TX-01,Louie,Gohmert,R,R+18,R+18.07,409
TX-02,Ted,Poe,R,R+12,R+12.32,354
TX-03,Sam,Johnson,R,R+17,R+16.71,403
TX-04,Ralph,Hall,R,R+18,R+18.47,413
TX-05,Jeb,Hensnarling,R,R+16,R+16.17,399
TX-06,Joe,Barton,R,R+16,R+15.57,392
TX-07,John,Culberson,R,R+15,R+14.74,385
TX-08,Kevin,Brady,R,R+21,R+20.83,424
TX-09,0,Green,D,D+20,D+20.5,46
TX-10,Michael,McCaul,R,R+12,R+12.19,352
TX-11,Mike,Conaway,R,R+27,R+26.59,434
TX-12,Kay,Granger,R,R+15,R+15.4,390
TX-13,Mac,Thornberry,R,R+26,R+25.91,431
TX-14,Ron,Paul,R,R+16,R+15.56,391
TX-15,Rubén,Hinojosa,D,R+3,R+2.93,225
TX-16,Silvestre,Reyes,D,D+8,D+8.05,124
TX-17,Chet,Edwards,D,R+19,R+18.52,414
TX-18,Sheila,Jackson Lee,D,D+23,D+22.94,37
TX-19,Randy,Neugebauer,R,R+26,R+25.93,432
TX-20,Charlie,Gonzalez,D,D+7,D+6.73,133
TX-21,Lamar,Smith,R,R+11,R+11.33,347
TX-22,Tom,DeLay,R,R+14,R+14.21,381
TX-23,Henry,Bonilla,R,R+13,R+13.43,374
TX-24,Kenny,Marchant,R,R+15,R+15.01,389
TX-25,Lloyd,Doggett,D,D+14,D+13.61,77
TX-26,Michael C.,Burgess,R,R+13,R+13.19,368
TX-27,Solomon P.,Ortiz,D,R+3,R+2.8,221
TX-28,Henry,Cuellar,D,R+1,R+0.74,202
TX-29,Gene,Green,D,D+7,D+6.94,132
TX-30,Eddie Bernice,Johnson,D,D+26,D+25.75,31
TX-31,John,Carter,R,R+16,R+16.18,400
TX-32,Pete,Sessions,R,R+10,R+9.91,327
UT-01,Rob,Bishop,R,R+23,R+22.86,427
UT-02,Jim,Matheson,D,R+17,R+17.09,404
UT-03,Chris,Cannon,R,R+27,R+27.38,435
VT-00,Bernie,Sanders,I,D+10,D+9.95,105
VA-01,Jo Ann,Davis,R,R+9,R+9.5,323
VA-02,Thelma,Drake,R,R+7,R+6.77,292
VA-03,Bobby,Scott,D,D+18,D+17.64,61
VA-04,Randy,Forbes,R,R+6,R+5.74,271
VA-05,Virgil,Goode,R,R+6,R+5.82,272
VA-06,Bob,Goodlatte,R,R+12,R+12.36,355
VA-07,Eric,Cantor,R,R+11,R+10.73,339
VA-08,Jim,Moran,D,D+14,D+14.25,74
VA-09,Rick,Boucher,D,R+8,R+8.36,311
VA-10,Frank,Wolf,R,R+5,R+5.21,260
VA-11,Tom,Davis,R,EVEN,R+0.19,194
WA-01,Jay,Inslee,D,D+7,D+7.48,128
WA-02,Rick,Larsen,D,D+3,D+2.54,171
WA-03,Brian,Baird,D,EVEN,R+0.07,192
WA-04,Doc,Hastings,R,R+13,R+13.23,369
WA-05,Cathy,McMorris,R,R+7,R+7.42,299
WA-06,Norm,Dicks,D,D+5,D+5.18,148
WA-07,Jim,McDermott,D,D+31,D+30.58,22
WA-08,Dave,Reichert,R,D+2,D+2.05,178
WA-09,Adam,Smith,D,D+5,D+4.89,151
WV-01,Alan,Mollohan,D,R+7,R+6.7,289
WV-02,Shelley Moore,Capito,R,R+6,R+5.92,275
WV-03,Nick,Rahall,D,R+1,R+1.41,208
WI-01,Paul,Ryan,R,R+3,R+2.71,220
WI-02,Tammy,Baldwin,D,D+13,D+13.05,80
WI-03,Ron,Kind,D,D+3,D+2.73,169
WI-04,Gwen,Moore,D,D+20,D+20.48,47
WI-05,Jim,Sensenbrenner,R,R+13,R+12.78,363
WI-06,Tom,Petri,R,R+6,R+5.87,273
WI-07,Dave,Obey,D,D+1,D+1.48,182
WI-08,Mark,Green,R,R+4,R+4.33,247
WY-00,Barbara,Cubin,R,R+20,R+19.61,420
